Time,X,Y,Z,XZ,X-zeroed,Z-Zeroed,X-diff,Z-diff,Heading,Distance (m),Speed,Speedx2
47,-14.84896,1.60537,1.468488,,-15.79196,1.468488,0.00187,0.000976,0.481033474,0.002109378,0.002109378,0.004218756
48,-14.84557,1.607569,1.468508,,-15.78857,1.468508,0.00339,-2E-05,-0.005899637,0.003390059,0.003390059,0.006780118
49,-14.83884,1.607996,1.468249,,-15.78184,1.468249,0.00673,0.000259,0.038465416,0.006734982,0.006734982,0.013469964
50,-14.83711,1.612835,1.469273,,-15.78011,1.469273,0.00173,-0.001024,-0.534447894,0.002010342,0.002010342,0.004020684
51,-14.83881,1.613868,1.463407,,-15.78181,1.463407,-0.0017,0.005866,-1.288718178,0.006107369,0.006107369,0.012214738
52,-15.02877,1.611997,1.254584,,-15.97177,1.254584,-0.18996,0.208823,-0.832664347,0.282297444,0.282297444,0.564594888
53,-14.51585,1.61536,1.409742,,-15.45885,1.409742,0.51292,-0.155158,-0.293748256,0.535873988,0.535873988,1.071747976
54,-14.36697,1.614959,1.421348,,-15.30997,1.421348,0.14888,-0.011606,-0.077798061,0.14933169,0.14933169,0.29866338
55,-14.37877,1.615824,1.428022,,-15.32177,1.428022,-0.0118,-0.006674,0.5147361,0.013556632,0.013556632,0.027113264
56,-14.3912,1.614404,1.420964,,-15.3342,1.420964,-0.01243,0.007058,-0.51642142,0.014294064,0.014294064,0.028588128
57,-14.40026,1.600744,1.400394,,-15.34326,1.400394,-0.00906,0.02057,-1.155914804,0.022476844,0.022476844,0.044953688
58,-14.39922,1.578555,1.340034,,-15.34222,1.340034,0.00104,0.06036,1.553568078,0.060368959,0.060368959,0.120737918
59,-14.39774,1.539097,1.328687,,-15.34074,1.328687,0.00148,0.011347,1.441097557,0.011443112,0.011443112,0.022886224
60,-14.39342,1.487902,1.331836,,-15.33642,1.331836,0.00432,-0.003149,-0.629882764,0.005345896,0.005345896,0.010691792
61,-14.46682,1.398291,1.281188,,-15.40982,1.281188,-0.0734,0.050648,-0.604001437,0.08917836,0.08917836,0.17835672
